sco_cnty	area_name	area_type	cnty_unit	g_unit	page_number	row_number	occup_level	order_number	suborder_number	occupation	m_tot	m_10_13	m_14	m_15	m_16	m_17	m_18_19	m_20_24	m_25_44	m_45_64	m_65_69	m_70_up	m_age_ns	m_at_home	m_employer	m_employee	m_self	m_other	f_tot	f_10_13	f_14	f_15	f_16	f_17	f_18_19	f_20_24	f_25_44	f_45_64	f_65_69	f_70_up	f_age_ns	f_at_home	f_employer	f_employee	f_self	f_other	rec_num
SCOTLAND	TOTAL	Nation		10107260	264	25	3	3	1	"17. Monks, Nuns, Sisters of Charity"	2	0	0	0	0	0	0	0	1	1	0	0	0						412	0	0	0	0	1	0	13	203	143	23	29	0						17
SCOTLAND	TOTAL	Nation		10107260	264	26	3	3	1	"18. Church, Chapel, Cemetery - Officers, &c."	1152	0	0	1	1	0	6	21	345	566	102	110	0						104	0	1	0	1	0	1	0	22	56	13	10	0						18
SCOTLAND	TOTAL	Nation		10107260	264	28	3	3	2	"19. Advocates, Solicitors"	4218	0	2	4	14	15	27	143	2232	1506	147	128	0						1	0	0	0	0	0	0	1	0	0	0	0	0						19
SCOTLAND	TOTAL	Nation		10107260	264	29	3	3	2	20. Law Clerks	5423	0	141	314	428	408	638	1129	1758	558	31	18	0						114	0	1	3	4	2	18	43	42	1	0	0	0						20
SCOTLAND	TOTAL	Nation		10107260	266	31	3	3	3	"21. Physicians, Surgeons, Registered Practitioners"	3094	0	0	0	0	0	0	141	1735	1043	89	86	0						134	0	0	0	0	0	0	12	110	11	0	1	0						21
SCOTLAND	TOTAL	Nation		10107260	266	32	3	3	3	22. Dentists (including Assistants)	1323	0	12	43	65	67	120	200	645	150	8	13	0						72	0	1	3	4	1	13	12	31	7	0	0	0						22
SCOTLAND	TOTAL	Nation		10107260	266	33	3	3	3	23. Veterinary Surgeons	279	0	0	0	0	1	0	13	133	103	14	15	0						1	0	0	0	0	0	0	1	0	0	0	0	0						23
SCOTLAND	TOTAL	Nation		10107260	266	34	3	3	3	24. Midwives																			313	0	0	0	0	0	0	8	117	138	23	27	0						24
SCOTLAND	TOTAL	Nation		10107260	266	35	3	3	3	"25. Sick Nurses, Invalid Attendants"	268	0	1	0	1	2	0	51	168	34	7	4	0						10316	3	21	17	9	22	159	2003	5690	1993	260	137	2						25
SCOTLAND	TOTAL	Nation		10107260	266	36	3	3	3	26. Subordinate Medical Service	524	0	7	11	21	13	71	103	212	70	8	8	0						317	0	0	1	2	11	21	50	153	68	8	3	0						26
SCOTLAND	TOTAL	Nation		10107260	266	38	3	3	4	"27. Schoolmasters, Teachers, Professors, Lecturers"	8010	0	1	9	8	14	38	844	4356	2579	112	48	1						18778	0	2	14	33	45	185	4483	11587	2340	61	23	5						27
SCOTLAND	TOTAL	Nation		10107260	266	39	3	3	4	28. Others connected with Education	1067	0	4	14	13	10	21	34	460	417	53	41	0						466	0	1	0	7	4	15	44	216	161	11	7	0						28
SCOTLAND	TOTAL	Nation		10107260	266	41	3	3	5	"29. Authors, Editors, Journalists, Reporters"	1001	0	1	4	11	16	37	131	490	268	22	21	0						100	0	0	0	1	1	4	11	55	24	3	1	0						29
SCOTLAND	TOTAL	Nation		10107260	266	42	3	3	5	30. Persons engaged in Scientific Pursuits	446	0	3	7	19	21	40	91	196	53	10	6	0						25	0	1	2	2	0	3	5	12	0	0	0	0						30
SCOTLAND	TOTAL	Nation		10107260	266	43	3	3	5	"31. Others connected with Literature, &c."	401	0	2	11	5	9	15	36	162	125	21	15	0						254	0	1	7	3	13	30	71	109	16	2	2	0						31
SCOTLAND	TOTAL	Nation		10107260	266	45	3	3	6	"32. Civil, Mining - Engineers"	1567	0	3	15	21	57	119	348	667	282	34	21	0		196	894	144	333	6	0	0	0	0	0	0	0	3	3	0	0	0		1	1	3	1	32
SCOTLAND	TOTAL	Nation		10107260	266	46	3	3	6	"33. Land, House, Ship - Surveyors"	518	0	4	5	8	12	22	72	238	122	16	19	0		71	285	44	118																			33
SCOTLAND	TOTAL	Nation		10107260	266	47	3	3	6	"34. Professional Engineers', Professional Surveyors' - Assistants"	49	0	1	0	4	2	5	12	21	3	0	1	0		1	24	1	23	10	0	0	0	0	1	0	2	6	1	0	0	0		0	1	5	4	34
SCOTLAND	TOTAL	Nation		10107260	266	49	3	3	7	"35. Painters, Sculptors, Engravers"	1283	0	7	34	34	34	68	141	521	368	37	39	0	150	84	616	410	173	316	0	5	10	2	11	11	45	146	78	5	3	0	60	3	112	142	59	35
SCOTLAND	TOTAL	Nation		10107260	266	50	3	3	7	36. Architects	1647	0	6	35	71	84	157	310	650	262	39	33	0		365	755	240	287	12	0	0	0	0	1	2	3	6	0	0	0	0		1	5	1	5	36
SCOTLAND	TOTAL	Nation		10107260	266	51	3	3	7	37. Photographers	1306	0	9	11	17	13	48	150	672	338	24	24	0	111	291	592	364	59	847	0	24	51	61	48	99	221	285	55	3	0	0	34	22	680	51	94	37
SCOTLAND	TOTAL	Nation		10107260	266	52	3	3	7	"38. Musicians, Music Masters, Singers (not Street)"	1973	0	4	5	17	17	33	164	1073	592	42	26	0	289	34	657	828	454	2012	1	1	5	16	25	85	381	1120	338	25	15	0	688	7	268	1248	489	38
SCOTLAND	TOTAL	Nation		10107260	266	53	3	3	7	39. Actors	447	0	4	1	5	1	10	61	272	86	5	2	0						321	1	6	6	11	11	18	80	175	11	1	0	1						39
SCOTLAND	TOTAL	Nation		10107260	266	54	3	3	7	"40. Art, Music, Theatre - Service, &c."	918	0	3	11	14	13	36	142	511	170	15	3	0		58	684	48	128	249	0	5	6	3	10	24	62	121	18	0	0	0		4	195	12	38	40
SCOTLAND	TOTAL	Nation		10107260	266	56	3	3	8	"41. Performers, Showmen ; Exhibition, Games - Service"	2780	1	41	64	60	70	127	395	1308	602	62	49	1	10	153	1795	311	521	234	2	2	5	8	15	23	47	91	38	1	2	0	22	9	124	62	39	41
SCOTLAND	TOTAL	Nation		10107260	268	59	3	4	1	"42. Domestic Indoor Servants in Hotels, Lodging-Houses, Eating-Houses"	1194	0	8	32	41	52	118	271	504	147	11	9	1						3968	2	18	67	114	180	496	1207	1601	260	19	4	0						42
SCOTLAND	TOTAL	Nation		10107260	268	60	3	4	1	43. Other Domestic Indoor Servants	2527	0	57	91	135	115	244	424	1018	374	46	23	0						131084	83	2508	5086	6611	7512	16185	33063	44134	13409	1369	1117	7						43
SCOTLAND	TOTAL	Nation		10107260	268	62	3	4	2	"44. Domestic - Coachmen, Grooms"	4886	0	21	55	101	91	234	693	2209	1281	132	69	0						2	0	0	1	0	1	0	0	0	0	0	0	0						44
SCOTLAND	TOTAL	Nation		10107260	268	63	3	4	2	"45. Domestic - Motor Car Drivers, Motor Car Attendants"	2564	0	3	10	10	29	125	573	1607	205	2	0	0						7	0	0	0	0	0	0	2	2	3	0	0	0						45
SCOTLAND	TOTAL	Nation		10107260	268	64	3	4	2	46. Domestic Gardeners	10615	0	58	170	273	322	686	1344	4363	2714	394	291	0						49	0	0	2	2	0	1	8	18	11	6	1	0						46
SCOTLAND	TOTAL	Nation		10107260	268	65	3	4	2	47. Gamekeepers	5908	0	18	41	54	82	214	609	2848	1765	166	111	0						11	0	0	0	0	1	0	3	3	3	1	0	0						47
SCOTLAND	TOTAL	Nation		10107260	268	67	3	4	3	"48. College, Club - Service"	412	0	6	18	15	14	17	54	172	95	15	6	0						243	0	0	2	4	9	15	52	115	42	4	0	0						48
SCOTLAND	TOTAL	Nation		10107260	268	68	3	4	3	"49. Hospital, Institution, and Benevolent Society Service"	1762	1	4	10	5	6	38	241	968	417	38	34	0						4900	1	36	57	123	216	570	1288	1886	643	45	35	0						49
SCOTLAND	TOTAL	Nation		10107260	268	69	3	4	3	"50. Caretakers ; Office, Park, Lodge, Gate - Keepers (not Government)"	2233	0	10	13	3	1	11	40	703	1058	213	181	0						1471	0	0	0	5	1	4	24	423	721	141	152	0						50
SCOTLAND	TOTAL	Nation		10107260	268	70	3	4	3	51. Cooks (not Domestic)	485	0	1	11	10	17	27	78	251	82	5	3	0						1206	0	1	3	6	19	61	176	615	294	20	11	0						51
SCOTLAND	TOTAL	Nation		10107260	268	71	3	4	3	"52. Charwomen, Cleaners"	66	0	0	1	2	2	3	4	29	25	0	0	0						10472	0	10	14	21	33	93	259	3692	5209	747	393	1						52
SCOTLAND	TOTAL	Nation		10107260	268	72	3	4	3	"53. Laundry Workers ; Washers, Ironers, Manglers, &c."	806	0	18	23	22	21	48	64	374	208	15	13	0	22	200	470	45	91	12928	15	312	538	594	719	1407	2569	3862	2369	326	216	1	1277	284	8651	1563	2430	53
SCOTLAND	TOTAL	Nation		10107260	268	73	3	4	3	54. Bath and Wash-house Service ; others engaged in Service	1030	0	9	21	10	14	36	83	424	328	60	45	0	4	14	562	104	350	237	0	0	1	6	3	9	26	112	66	9	5	0	3	1	94	19	123	54
SCOTLAND	TOTAL	Nation		10107260	268	76	3	5	1	55. Merchants (Commodity undefined)	514	0	0	3	1	3	7	27	210	200	34	29	0	25	240	86	110	78	70	0	1	0	2	3	1	6	17	27	4	9	0	10	9	8	38	15	55
SCOTLAND	TOTAL	Nation		10107260	268	77	3	5	1	"56. Brokers, Agents, Factors"	4828	0	10	18	31	23	67	247	2125	1869	257	181	0	79	1147	1708	1287	686	273	0	4	4	5	2	10	19	91	113	13	12	0	34	28	89	126	30	56
SCOTLAND	TOTAL	Nation		10107260	268	78	3	5	1	"57. Salesmen, Buyers (not otherwise described)"	114	0	0	0	3	0	4	12	66	25	2	2	0		4	84	8	18	65	0	0	1	5	2	10	13	25	8	1	0	0		0	50	5	10	57
SCOTLAND	TOTAL	Nation		10107260	268	79	3	5	1	58. Commercial Travellers	11710	0	2	6	14	25	113	966	6934	3259	256	133	2		176	9271	771	1492	223	0	1	2	4	5	22	55	109	23	2	0	0		2	164	34	23	58
SCOTLAND	TOTAL	Nation		10107260	268	80	3	5	1	59. Accountants	1898	0	1	8	15	63	201	367	779	404	27	33	0	9	535	837	129	397	10	0	0	0	0	0	0	1	4	5	0	0	0		0	8	1	1	59
SCOTLAND	TOTAL	Nation		10107260	268	81	3	5	1	"60. Auctioneers, Appraisers, Valuers, House Agents"	1292	0	1	3	7	9	22	107	551	467	49	76	0		369	489	213	221	27	0	1	0	0	0	1	1	9	12	1	2	0		1	10	10	6	60
SCOTLAND	TOTAL	Nation		10107260	268	82	3	5	1	"61. Officers of Commercial Guilds, Societies, &c."	268	0	0	0	0	0	2	6	126	123	3	8	0		5	186	5	72	36	0	0	0	0	1	1	4	17	12	1	0	0		0	23	6	7	61
SCOTLAND	TOTAL	Nation		10107260	268	84	3	5	2	62. Commercial or Business Clerks	40337	7	722	1722	2130	2278	4095	7699	15687	5311	432	254	0						29067	2	511	1165	1728	2161	4695	9550	8891	348	9	7	0						62
SCOTLAND	TOTAL	Nation		10107260	270	86	3	5	3	"63. Bankers ; Bank - Officials, Clerks"	5960	2	14	121	282	407	804	1077	1974	1155	76	48	0		57	3269	4	2630	22	0	0	0	0	2	3	6	7	4	0	0	0		0	14	0	8	63
SCOTLAND	TOTAL	Nation		10107260	270	87	3	5	3	"64. Bill - Discounters, Brokers ; Finance Agents"	102	0	0	1	1	4	1	15	38	33	3	6	0	1	20	51	10	21	18	0	0	0	0	1	2	7	7	1	0	0	0		0	13	2	3	64
SCOTLAND	TOTAL	Nation		10107260	270	89	3	5	4	"65. Life, House, Ship, &c., Insurance - Officials, Clerks, &c."	4090	0	23	68	140	182	374	699	1844	712	31	17	0		77	2873	30	1110	189	0	0	7	9	4	34	70	61	4	0	0	0		0	140	0	49	65
SCOTLAND	TOTAL	Nation		10107260	270	90	3	5	4	66. Insurance Agents	4590	0	3	5	11	15	45	345	2588	1394	117	67	0		60	3488	82	960	31	0	0	0	1	1	1	1	15	11	1	0	0		0	26	0	5	66
SCOTLAND	TOTAL	Nation		10107260	270	93	3	6	1	"67. Railway - Officials, Clerks"	9765	0	158	354	409	386	873	1714	3730	2030	82	29	0						205	0	1	7	13	8	29	50	91	6	0	0	0						67
SCOTLAND	TOTAL	Nation		10107260	270	94	3	6	1	"68. Railway Ticket - Examiners, Collectors ; Railway Porters"	6455	3	19	79	135	205	517	1221	2967	1163	105	40	1						1	0	0	1	0	0	0	0	0	0	0	0	0						68
SCOTLAND	TOTAL	Nation		10107260	270	95	3	6	1	"69. Railway Engine - Drivers, Stokers, Cleaners"	9290	0	8	53	159	249	748	2062	4067	1780	120	44	0																								69
SCOTLAND	TOTAL	Nation		10107260	270	96	3	6	1	70. Railway Guards	3054	0	5	2	4	7	17	272	1844	860	34	9	0																								70
SCOTLAND	TOTAL	Nation		10107260	270	97	3	6	1	71. Signalmen	3816	0	10	11	13	12	38	461	2267	940	54	10	0																								71
SCOTLAND	TOTAL	Nation		10107260	270	98	3	6	1	"72. Pointsmen, Level Crossing Men"	927	0	2	2	2	3	24	150	512	183	35	14	0						20	0	0	0	0	0	0	0	7	7	3	3	0						72
SCOTLAND	TOTAL	Nation		10107260	270	99	3	6	1	"73. Platelayers, Gangers, Packers"	8316	0	2	8	13	37	234	906	3966	2695	301	154	0																								73
SCOTLAND	TOTAL	Nation		10107260	270	100	3	6	1	74. Railway Labourers (not Railway Contractors' Labourers) ; other Railway Servants	7833	2	119	171	184	188	384	861	3356	2178	241	149	0						260	0	3	0	6	4	12	37	98	85	6	9	0						74
SCOTLAND	TOTAL	Nation		10107260	270	102	3	6	2	"75. Livery Stable Keepers ; Coach, Cab - Proprietors ; Motor Garage - Proprietors, Workers"	1510	0	3	10	18	29	49	131	704	483	50	33	0		557	482	355	116	31	0	0	0	0	1	0	2	6	15	3	4	0		22	3	1	5	75
SCOTLAND	TOTAL	Nation		10107260	270	103	3	6	2	"76. Horsekeepers, Grooms, Stablemen, Coachmen (not Domestic) ; Cabmen"	6437	3	35	70	90	87	218	622	3038	1949	218	107	0		43	3645	67	2682	4	0	0	0	0	0	0	0	0	3	1	0	0		1	3	0	0	76
SCOTLAND	TOTAL	Nation		10107260	270	104	3	6	2	"77. Motor Car Drivers (not Domestic), Motor Cab Drivers, Motor Van, &c., Drivers"	1283	1	3	10	13	33	84	321	728	89	0	1	0		11	989	23	260	1	0	0	0	0	0	0	0	0	1	0	0	0		1	0	0	0	77
SCOTLAND	TOTAL	Nation		10107260	270	105	3	6	2	"78. Vanmen, Lorrymen, Carriers, Carters (not Farm)"	40391	15	666	956	1103	1074	2071	5129	19856	8491	689	341	0		916	33560	1236	4679	68	0	2	2	1	3	0	3	9	31	8	9	0		36	19	7	6	78
SCOTLAND	TOTAL	Nation		10107260	270	106	3	6	2	79. Omnibus Service - Horse Drivers	141	0	0	2	1	2	9	27	72	28	0	0	0		0	120	5	16																			79
SCOTLAND	TOTAL	Nation		10107260	270	107	3	6	2	80. Omnibus Service - Motor Drivers	100	0	1	0	1	6	23	10	55	3	1	0	0		2	67	1	30																			80
SCOTLAND	TOTAL	Nation		10107260	270	108	3	6	2	81. Omnibus Service - Conductors and Others	73	0	3	7	5	2	3	14	26	13	0	0	0		1	43	3	26	1	0	0	0	0	0	0	0	0	1	0	0	0		1	0	0	0	81
SCOTLAND	TOTAL	Nation		10107260	270	109	3	6	2	82. Tramway Service - Drivers	2540	0	1	0	0	5	15	218	2052	243	6	0	0		1	1158	1	1380																			82
SCOTLAND	TOTAL	Nation		10107260	270	110	3	6	2	83. Tramway Service - Conductors and Others	3964	3	18	22	36	54	97	611	2476	599	36	12	0		1	1713	0	2250	44	0	0	2	1	6	1	8	22	3	0	1	0		0	18	0	26	83
SCOTLAND	TOTAL	Nation		10107260	270	111	3	6	2	84. Others connected with Carrying or Cartage ; others on Roads	319	0	1	1	8	1	4	13	155	111	14	11	0		124	110	62	23	19	0	1	1	0	0	0	1	2	13	0	1	0		12	6	1	0	84
SCOTLAND	TOTAL	Nation		10107260	272	113	3	6	3	85. Merchant Service ; Seamen - Navigating Department	8712	0	9	28	96	157	438	1227	3931	2456	226	143	1		96	7088	96	1432																			85
SCOTLAND	TOTAL	Nation		10107260	272	114	3	6	3	86. Merchant Service ; Seamen - Engineering Department	7813	0	7	14	77	103	275	1160	4401	1638	93	44	1		34	7199	10	570																			86
SCOTLAND	TOTAL	Nation		10107260	272	115	3	6	3	"87. Merchant Service ; Seamen - Cooks, Stewards, and Others (Subsidiary Services)"	3096	1	19	34	67	92	193	544	1434	639	54	19	0		11	2806	8	271	133	0	0	0	1	0	2	13	84	29	4	0	0		0	113	0	20	87
SCOTLAND	TOTAL	Nation		10107260	272	116	3	6	3	88. Pilots ; Boatmen on Seas	493	1	0	2	3	2	11	28	191	216	20	19	0		10	281	100	102	2	0	0	0	0	0	0	0	2	0	0	0	0		2	0	0	0	88
SCOTLAND	TOTAL	Nation		10107260	272	117	3	6	3	"89. Bargemen, Lightermen, Watermen"	662	0	2	2	6	7	14	43	285	242	38	23	0		21	487	67	87	1	0	0	0	0	0	0	0	0	1	0	0	0		1	0	0	0	89
SCOTLAND	TOTAL	Nation		10107260	272	118	3	6	3	90. Navigation Service (on Shore)	869	0	1	1	6	8	15	48	353	357	52	28	0		252	469	20	128	13	0	0	1	0	0	0	3	5	4	0	0	0		1	12	0	0	90
SCOTLAND	TOTAL	Nation		10107260	272	120	3	6	4	"91. Dock Labourers, Quay Labourers"	13147	0	10	21	50	86	246	982	7056	4252	282	158	4						18	0	0	0	1	0	1	3	8	3	1	1	0						91
SCOTLAND	TOTAL	Nation		10107260	272	121	3	6	4	"92. Harbour, Dock, Quay, Lighthouse - Officials and Servants"	1794	0	4	2	6	9	19	86	810	720	76	62	0						18	0	0	0	1	0	1	1	7	7	0	1	0						92
SCOTLAND	TOTAL	Nation		10107260	272	123	3	6	5	93. Warehousemen	2447	0	23	42	69	80	173	354	1110	510	52	34	0		69	1979	24	375	652	0	15	37	44	45	105	214	171	20	1	0	0		4	510	2	136	93
SCOTLAND	TOTAL	Nation		10107260	272	124	3	6	5	"94. Coalheavers ; Coal - Porters, Labourers"	3104	1	8	21	28	37	110	338	1725	740	50	46	0						7	0	1	0	1	0	1	1	2	1	0	0	0						94
SCOTLAND	TOTAL	Nation		10107260	272	125	3	6	5	"95. Messengers, Porters, Watchmen (not Railway or Government)"	20760	253	6191	4999	2288	823	564	616	2255	2025	435	311	0						5204	73	2169	1722	723	256	120	66	39	26	7	3	0						95
SCOTLAND	TOTAL	Nation		10107260	272	126	3	6	5	"96. Telegraph, Telephone - Service (not Government)"	807	0	6	14	21	17	63	133	446	96	9	2	0		2	660	0	145	1111	0	4	23	44	48	179	440	339	30	1	3	0	11	1	814	1	295	96
SCOTLAND	TOTAL	Nation		10107260	272	129	3	7	1	"97. Farmers, Graziers"	29939	0	6	7	22	22	94	470	9845	13714	2516	3243	0		23077	762	2878	3222	2666	0	1	2	0	1	3	14	312	1428	382	523	0		1995	45	237	389	97
SCOTLAND	TOTAL	Nation		10107260	272	130	3	7	1	"98. Farmers', Graziers' - Sons, Daughters, or other Relatives assisting in the work of the Farm"	11619	5	415	682	725	708	1292	2567	4532	574	63	56	0						5557	2	103	249	263	253	557	1173	2199	598	75	85	0						98
SCOTLAND	TOTAL	Nation		10107260	272	131	3	7	1	99. Crofters	14027	1	19	30	34	29	48	126	2650	5999	1666	3425	0		765	1561	3858	7843	4046	0	3	11	11	11	15	38	479	1709	571	1198	0		229	149	886	2782	99
SCOTLAND	TOTAL	Nation		10107260	272	132	3	7	1	"100. Crofters' - Sons, Daughters, or other Relatives assisting in the work of the Croft"	5008	3	230	499	442	377	625	807	1567	360	47	51	0						5117	3	109	281	281	228	414	795	1826	902	145	133	0						100
SCOTLAND	TOTAL	Nation		10107260	272	133	3	7	1	"101. Farm - Grieves, Foremen"	7250	0	1	6	7	21	67	421	3790	2594	206	137	0						29	0	0	0	0	0	0	3	9	11	1	5	0						101
SCOTLAND	TOTAL	Nation		10107260	272	134	3	7	1	102. Shepherds	9041	4	88	158	177	216	424	1023	3652	2616	389	293	1						11	0	0	0	0	0	0	1	4	5	0	1	0						102
SCOTLAND	TOTAL	Nation		10107260	272	135	3	7	1	"103. Agricultural Labourers, Farm Servants - in charge of Cattle"	13806	20	589	1069	1089	770	1161	1631	4260	2755	299	163	0						6127	3	84	230	337	411	874	1585	1897	617	56	33	0						103
SCOTLAND	TOTAL	Nation		10107260	272	136	3	7	1	"104. Agricultural Labourers, Farm Servants - in charge of Horses"	35475	3	224	767	1466	2000	4610	8270	13641	4126	244	122	2						85	1	2	6	4	6	15	15	24	11	0	1	0						104
SCOTLAND	TOTAL	Nation		10107260	272	137	3	7	1	"105. Agricultural Labourers, Farm Servants - Not otherwise distinguished"	22260	35	1235	1712	1597	1236	1813	2500	5717	4583	966	866	0						8785	7	231	467	609	563	949	1498	2241	1731	292	197	0						105
SCOTLAND	TOTAL	Nation		10107260	274	138	3	7	1	"106. Foresters, Woodmen"	3621	0	27	49	61	66	138	368	1458	1167	149	138	0		29	3170	24	398	15	0	0	2	0	1	3	4	3	0	2	0	0		0	14	0	1	106
SCOTLAND	TOTAL	Nation		10107260	274	139	3	7	1	"107. Nurserymen, Seedsmen, Florists"	1652	2	27	43	67	62	98	204	633	415	58	42	1		269	1163	112	108	227	0	4	4	13	7	12	26	60	79	11	11	0		9	176	14	28	107
SCOTLAND	TOTAL	Nation		10107260	274	140	3	7	1	108. Market Gardeners (including Labourers)	2412	1	31	44	71	54	101	203	885	733	155	134	0		343	1378	522	169	185	0	7	8	8	7	14	30	45	50	13	3	0		10	134	16	25	108
SCOTLAND	TOTAL	Nation		10107260	274	141	3	7	1	109. Other Gardeners (not Domestic)	6453	1	32	85	117	91	209	414	2000	2432	521	551	0		319	4134	1275	725	90	0	6	3	0	6	7	17	19	24	4	4	0		3	71	2	14	109
SCOTLAND	TOTAL	Nation		10107260	274	142	3	7	1	"110. Agricultural Machine - Proprietors, Attendants"	315	0	0	0	5	4	14	44	161	74	8	4	1		79	195	21	20	6	0	0	0	1	0	1	1	1	2	0	0	0		2	4	0	0	110
SCOTLAND	TOTAL	Nation		10107260	274	143	3	7	1	111. Others engaged in or connected with Agriculture	2811	0	22	22	26	41	90	209	1055	985	179	182	0		136	1953	408	314	111	0	2	3	4	2	10	14	26	44	4	2	0		8	59	10	34	111
SCOTLAND	TOTAL	Nation		10107260	274	146	3	8	1	112. Fishermen	24163	4	54	242	457	540	1148	3012	10751	6476	856	621	2		987	10608	6779	5789	263	0	3	7	11	23	27	68	64	39	8	13	0		1	146	35	81	112
SCOTLAND	TOTAL	Nation		10107260	274	147	3	8	1	113. Fishermen-crofters	3879	0	1	8	14	11	61	150	1390	1802	219	223	0		73	569	1095	2142	60	0	0	0	1	3	2	8	32	13	1	0	0		0	23	0	37	113
SCOTLAND	TOTAL	Nation		10107260	274	150	3	9	1	114. Coal and Shale Mine - Hewers	90470	48	901	1627	2093	2438	5591	15719	45124	15773	873	276	7		64	81513	29	8864																			114
SCOTLAND	TOTAL	Nation		10107260	274	151	3	9	1	115. Coal and Shale Mine - Other Workers below ground	39409	96	1501	2341	2527	2324	4011	6599	14405	4965	447	193	0		97	35942	7	3363																			115
SCOTLAND	TOTAL	Nation		10107260	274	152	3	9	1	116. Coal and Shale Mine - Workers above ground	11225	77	684	638	495	359	596	1118	4169	2547	363	179	0		14	9892	4	1315	2396	13	157	298	362	333	534	510	152	32	2	3	0		0	2220	1	175	116
SCOTLAND	TOTAL	Nation		10107260	274	153	3	9	1	117. Coke Burners	339	0	1	1	7	2	4	35	228	56	3	2	0		1	324	0	14	1	0	0	0	0	0	1	0	0	0	0	0	0		0	1	0	0	117
SCOTLAND	TOTAL	Nation		10107260	274	154	3	9	1	118. Patent Fuel Makers	64	0	2	4	1	3	3	8	31	11	1	0	0		2	57	1	4																			118
SCOTLAND	TOTAL	Nation		10107260	274	155	3	9	1	"119. Ironstone - Miners, Quarriers"	1996	0	33	41	49	64	142	285	883	456	30	13	0		3	1823	1	169																			119
SCOTLAND	TOTAL	Nation		10107260	274	156	3	9	1	120. Lead Miners	372	0	7	14	9	12	29	58	130	98	11	4	0		1	305	0	66																			120
SCOTLAND	TOTAL	Nation		10107260	274	157	3	9	1	121. Miners in other Minerals	66	0	0	0	1	1	4	6	44	7	2	1	0		4	43	0	19																			121
